dataset,reported_as,noise_type,noise_rate,graph_beta,seed,method,review_budget,topk_recall,precision
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.76,1.0,0.6578233598915071
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.78,1.0,0.6409811694747275
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.8,1.0,0.624929543441501
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.8200000000000001,1.0,0.6097101107706812
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.8400000000000001,1.0,0.5951687116564417
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.86,1.0,0.5813483146067415
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.88,1.0,0.5681136080813997
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.9,1.0,0.555507837663732
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.92,1.0,0.5434112869346029
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.9400000000000001,1.0,0.5318667763157895
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.9600000000000001,1.0,0.5207676306783869
cicids2017,CICIDS-2017,symmetric,0.4,none,0,Graph-CoLD,0.98,1.0,0.5101557878130546
