dataset,noise_type,noise_rate,graph_beta,seed,graphcold_macro_f1,hard_macro_f1,macro_f1_delta,graphcold_fnr,hard_fnr,fnr_delta_graphcold_minus_hard,graphcold_high_noise_fnr,hard_high_noise_fnr,tail_recall_graphcold,tail_recall_hard,tail_recall_delta
cesnet_tls_year22,graph_consistency,0.4,0.0,2,0.9945045185259592,0.9943099173827536,0.00019460114320557498,0.0,8.409014463504877e-05,-8.409014463504877e-05,0.0,8.409014463504877e-05,0.997907402563432,0.9968611038451478,0.001046298718284211
cesnet_tls_year22,graph_consistency,0.4,0.6,0,0.995649374790978,0.9953517284362003,0.00029764635477769197,0.0,0.0,0.0,0.0,0.0,0.997907402563432,0.9968611038451478,0.001046298718284211
cesnet_tls_year22,graph_consistency,0.4,0.6,1,0.994329391643715,0.9940147938007748,0.00031459784294018966,0.0002522704339051,8.409014463504877e-05,0.00016818028927005125,0.0002522704339051,8.409014463504877e-05,0.9950300810881508,0.9958148051268636,-0.0007847240387127696
cesnet_tls_year22,graph_consistency,0.4,0.6,2,0.994838390241968,0.9951982216732176,-0.00035983143124962425,0.0,8.409014463504877e-05,-8.409014463504877e-05,0.0,8.409014463504877e-05,0.9981689772430028,0.999738425320429,-0.0015694480774262054
cesnet_tls_year22,graph_consistency,0.6,0.0,0,0.9943868717252397,0.993965297639379,0.00042157408586063205,0.0,0.0,0.0,0.0,0.0,0.9971226785247188,0.9963379544860056,0.0007847240387132137
cesnet_tls_year22,graph_consistency,0.6,0.0,1,0.9923833546184682,0.9932819423956024,-0.0008985877771342521,8.409014463504877e-05,0.0002522704339051,-0.00016818028927005125,8.409014463504877e-05,0.0002522704339051,0.9939837823698666,0.9945069317290086,-0.0005231493591419945
cesnet_tls_year22,graph_consistency,0.6,0.0,2,0.9942466694335867,0.99436095773566,-0.00011428830207327323,8.409014463504877e-05,8.409014463504877e-05,0.0,8.409014463504877e-05,8.409014463504877e-05,0.9981689772430028,0.9976458278838608,0.0005231493591419945
cesnet_tls_year22,graph_consistency,0.6,0.6,0,0.993655150586241,0.9943991620545382,-0.0007440114682971677,0.0,0.0,0.0,0.0,0.0,0.9965995291655768,0.997907402563432,-0.0013078733978552082
cesnet_tls_year22,graph_consistency,0.6,0.6,1,0.9937774922754692,0.9924283887384512,0.0013491035370180038,0.00016818028927,0.0002522704339051,-8.409014463510003e-05,0.00016818028927,0.0002522704339051,0.9947685064085796,0.9931990583311536,0.0015694480774259834
cesnet_tls_year22,graph_consistency,0.6,0.6,2,0.99430798920829,0.9947988652651988,-0.0004908760569087844,0.0,0.0,0.0,0.0,0.0,0.9981689772430028,0.9992152759612868,-0.001046298718283989
cesnet_tls_year22,symmetric,0.1,none,0,0.9956717250152464,0.995812085530272,-0.0001403605150256393,0.0,0.0,0.0,,,0.998430551922574,0.998430551922574,0.0
cesnet_tls_year22,symmetric,0.1,none,1,0.9953411866740258,0.9948207688587136,0.0005204178153122019,8.409014463504877e-05,0.00016818028927,-8.409014463495122e-05,,,0.9965995291655768,0.9963379544860056,0.00026157467957121927
cesnet_tls_year22,symmetric,0.1,none,2,0.9958341277077908,0.9953508858380188,0.0004832418697719998,0.0,0.0,0.0,,,0.999476850640858,0.998953701281716,0.0005231493591419945
cesnet_tls_year22,symmetric,0.2,none,0,0.9958129829129748,0.995419228132338,0.00039375478063685687,0.0,0.0,0.0,,,0.9981689772430028,0.9981689772430028,0.0
cesnet_tls_year22,symmetric,0.2,none,1,0.9958011738040696,0.994206032191034,0.0015951416130356444,8.409014463504877e-05,8.409014463504877e-05,0.0,,,0.9971226785247188,0.9952916557677216,0.0018310227569972026
cesnet_tls_year22,symmetric,0.2,none,2,0.9956782920640654,0.995197995138826,0.0004802969252394318,8.409014463504877e-05,0.00016818028927,-8.409014463495122e-05,,,0.998953701281716,0.997907402563432,0.001046298718283989
cesnet_tls_year22,symmetric,0.4,none,0,0.9956414218882772,0.9948593321064232,0.0007820897818540118,0.0,0.0,0.0,0.0,0.0,0.9986921266021448,0.9973842532042898,0.0013078733978549861
cesnet_tls_year22,symmetric,0.4,none,1,0.9948003526732708,0.993547935707937,0.0012524169653338468,8.409014463504877e-05,8.409014463504877e-05,0.0,8.409014463504877e-05,8.409014463504877e-05,0.9960763798064348,0.9947685064085796,0.0013078733978552082
cesnet_tls_year22,symmetric,0.4,none,2,0.9945045185259592,0.9943099173827536,0.00019460114320557498,0.0,8.409014463504877e-05,-8.409014463504877e-05,0.0,8.409014463504877e-05,0.997907402563432,0.9968611038451478,0.001046298718284211
cesnet_tls_year22,symmetric,0.6,none,0,0.9943868717252397,0.993965297639379,0.00042157408586063205,0.0,0.0,0.0,0.0,0.0,0.9971226785247188,0.9963379544860056,0.0007847240387132137
cesnet_tls_year22,symmetric,0.6,none,1,0.9923833546184682,0.9932819423956024,-0.0008985877771342521,8.409014463504877e-05,0.0002522704339051,-0.00016818028927005125,8.409014463504877e-05,0.0002522704339051,0.9939837823698666,0.9945069317290086,-0.0005231493591419945
cesnet_tls_year22,symmetric,0.6,none,2,0.9942466694335867,0.99436095773566,-0.00011428830207327323,8.409014463504877e-05,8.409014463504877e-05,0.0,8.409014463504877e-05,8.409014463504877e-05,0.9981689772430028,0.9976458278838608,0.0005231493591419945
cicids2017,asymmetric,0.1,none,0,0.9900986150122464,0.9605743435645308,0.029524271447715633,0.0008618754769493,0.0053059209049692,-0.0044440454280199,,,0.9869312681510164,0.9019845111326236,0.08494675701839283
cicids2017,asymmetric,0.1,none,1,0.9912538342330816,0.9660619076741128,0.025191926558968736,0.0007900525205368,0.0041657314719217,-0.0033756789513849,,,0.9881413359148112,0.9104549854791868,0.07768635043562444
cicids2017,asymmetric,0.1,none,2,0.9905895233623008,0.9633749857632862,0.0272145375990146,0.0008349418682946,0.0047313372536697,-0.0038963953853751003,,,0.9862052274927396,0.9056147144240078,0.08059051306873188
cicids2017,asymmetric,0.2,none,0,0.9891556755490032,0.9582767044985376,0.030878971050465553,0.0010504107375319,0.0060690398168514,-0.0050186290793195,,,0.9847531461761858,0.898838334946757,0.08591481122942879
cicids2017,asymmetric,0.2,none,1,0.989712263860562,0.96567296843661,0.024039295423952,0.0009785877811195,0.0049647618620101,-0.0039861740808906,,,0.9857212003872216,0.9111810261374635,0.074540174249758
cicids2017,asymmetric,0.2,none,2,0.9894141701169265,0.9640968560411072,0.025317314075819275,0.0010504107375319,0.0044081339498137,-0.0033577232122817997,,,0.98378509196515,0.9027105517909004,0.08107454017424953
cicids2017,asymmetric,0.4,none,0,0.9862131650137717,0.9511341872220416,0.03507897779173008,0.0016519279974861,0.0074336759886878,-0.0057817479912017,0.0016519279974861,0.0074336759886878,0.9774927395934172,0.8823814133591481,0.0951113262342691
cicids2017,asymmetric,0.4,none,1,0.9852659136881886,0.9567682417780862,0.02849767191010244,0.0018045517798626,0.0058715266867172,-0.004066974906854599,0.0018045517798626,0.0058715266867172,0.9762826718296224,0.8845595353339787,0.09172313649564368
cicids2017,asymmetric,0.4,none,2,0.986208228980044,0.9536742749343124,0.03253395404573156,0.0017057952147955,0.0062755308165372,-0.0045697356017417,0.0017057952147955,0.0062755308165372,0.9767666989351405,0.8765730880929332,0.10019361084220724
