dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_retained_rate,clean_suspicious_tail_recovery_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,6,6,81,7,28,4,1.0,0.0,0.42857142857142855,0.33245741790416006,0.16764763325912024,0.8393673062791734
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,9,9,49,7,23,1,1.0,0.0,0.14285714285714285,0.32355505782260363,0.12736240978725638,0.8697180915709254
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD-semisup,10,10,22,1,10,1,1.0,0.0,1.0,0.5054593281427787,0.19518054174010918,0.8927538966968697
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD,1,1,29,2,10,4,1.0,1.0,0.5,0.46388540035917153,0.24191233327078224,0.8525185088536724
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD,5,5,78,6,32,3,1.0,1.0,0.3333333333333333,0.33130835354282984,0.17337983141164565,0.8361782763136295
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD,6,6,81,7,28,4,1.0,1.0,0.7142857142857143,0.33245741790416006,0.16764763325912024,0.8393673062791734
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD,9,9,49,7,23,1,1.0,1.0,0.2857142857142857,0.32355505782260363,0.12736240978725638,0.8697180915709254
cicids2017,CICIDS-2017,0.4,1,Graph-CoLD,10,10,22,1,10,1,1.0,1.0,1.0,0.5054593281427787,0.19518054174010918,0.8927538966968697
cicids2017,CICIDS-2017,0.6,1,CoLD,1,1,29,2,18,3,0.0,0.0,0.0,0.29479028653552297,0.18332456832181196,0.6206896551724138
cicids2017,CICIDS-2017,0.6,1,CoLD,5,5,78,6,42,5,0.0,0.0,0.0,0.24451542004762275,0.14114994544621468,0.5384615384615384
cicids2017,CICIDS-2017,0.6,1,CoLD,6,6,81,7,51,2,0.0,0.0,0.0,0.21378520850818644,0.10420650555156868,0.6296296296296297
cicids2017,CICIDS-2017,0.6,1,CoLD,9,9,49,7,29,0,0.0,0.0,0.0,0.23352384071572224,0.09505531938164462,0.5918367346938775
cicids2017,CICIDS-2017,0.6,1,CoLD,10,10,22,1,15,2,0.0,0.0,0.0,0.32505446251482617,0.16756279357539583,0.6818181818181818
cicids2017,CICIDS-2017,0.6,1,ablation_hard,1,1,29,2,18,3,0.0,0.0,0.0,0.29479028653552297,0.18332456832181196,0.896551724137931
cicids2017,CICIDS-2017,0.6,1,ablation_hard,5,5,78,6,42,5,0.0,0.0,0.8333333333333334,0.24451542004762275,0.14114994544621468,0.9358974358974359
cicids2017,CICIDS-2017,0.6,1,ablation_hard,6,6,81,7,51,2,0.0,0.0,0.0,0.21378520850818644,0.10420650555156868,0.9753086419753086
cicids2017,CICIDS-2017,0.6,1,ablation_hard,9,9,49,7,29,0,0.0,0.0,0.2857142857142857,0.23352384071572224,0.09505531938164462,1.0
cicids2017,CICIDS-2017,0.6,1,ablation_hard,10,10,22,1,15,2,0.0,0.0,0.0,0.32505446251482617,0.16756279357539583,0.9090909090909091
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,1,1,29,2,18,3,1.0,1.0,0.5,0.29479028653552297,0.18332456832181196,0.8584058532797252
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,5,5,78,6,42,5,1.0,1.0,0.8333333333333334,0.24451542004762275,0.14114994544621468,0.8468539452669986
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,6,6,81,7,51,2,1.0,1.0,0.0,0.21378520850818644,0.10420650555156868,0.8620040994625938
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,9,9,49,7,29,0,0.0,0.0,0.42857142857142855,0.23352384071572224,0.09505531938164462,0.871555945016777
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-soft,10,10,22,1,15,2,1.0,1.0,0.0,0.32505446251482617,0.16756279357539583,0.8841885251977188
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,1,1,29,2,18,3,1.0,0.0,0.0,0.29479028653552297,0.18332456832181196,0.8584058532797252
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,5,5,78,6,42,5,1.0,0.0,0.8333333333333334,0.24451542004762275,0.14114994544621468,0.8468539452669986
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,6,6,81,7,51,2,1.0,0.0,0.0,0.21378520850818644,0.10420650555156868,0.8620040994625938
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,9,9,49,7,29,0,0.0,0.0,0.42857142857142855,0.23352384071572224,0.09505531938164462,0.871555945016777
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,10,10,22,1,15,2,1.0,0.0,0.0,0.32505446251482617,0.16756279357539583,0.8841885251977188
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD,1,1,29,2,18,3,1.0,1.0,0.5,0.29479028653552297,0.18332456832181196,0.8584058532797252
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD,5,5,78,6,42,5,1.0,1.0,0.8333333333333334,0.24451542004762275,0.14114994544621468,0.8468539452669986
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD,6,6,81,7,51,2,1.0,1.0,0.0,0.21378520850818644,0.10420650555156868,0.8620040994625938
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD,9,9,49,7,29,0,0.0,0.0,0.42857142857142855,0.23352384071572224,0.09505531938164462,0.871555945016777
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD,10,10,22,1,15,2,1.0,1.0,0.0,0.32505446251482617,0.16756279357539583,0.8841885251977188
cicids2017,CICIDS-2017,0.8,1,CoLD,1,1,29,2,21,6,0.0,0.0,0.0,0.21365411582852614,0.22776455135731022,0.7241379310344828
cicids2017,CICIDS-2017,0.8,1,CoLD,5,5,78,6,68,4,0.0,0.0,0.0,0.12258457566578901,0.0804012841415848,0.8717948717948718
cicids2017,CICIDS-2017,0.8,1,CoLD,6,6,81,7,66,4,0.0,0.0,0.0,0.13280923692952154,0.09029300284066835,0.8148148148148148
cicids2017,CICIDS-2017,0.8,1,CoLD,9,9,49,7,36,1,0.0,0.0,0.0,0.15977119420146776,0.07484029873245214,0.7346938775510204
