dataset,reported_as,audit_scope,leakage_removed,exact_duplicate_train_rows_removed,near_duplicate_graph_edges_removed,noise_type,noise_rate,graph_beta,seed,method,macro_f1,fpr,fnr,err,err_tail,err_final,mean_weight,retained_fraction,retained_fraction_clean_informative,runtime_sec
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.0,0,ablation_hard,0.8706501721489751,0.01319710515112814,0.013625906919129358,0.9356304165538318,0.8785199817652535,0.9070751991595427,0.8955382436260623,0.8955382436260623,0.9779874213836478,0.06572010001400486
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.6,0,Graph-CoLD,0.686932974255122,0.05534269902085994,0.04972571226331623,0.9992486038938941,1.0,0.9996243019469471,0.9425245124208405,0.9514872521246459,0.9984276729559748,0.06816099997377023
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.6,0,CoLD,0.6009623076185809,0.0464027245636441,0.05963546274995576,0.8569369431510555,0.7423264610365825,0.7996317020938191,0.9419263456090652,0.9419263456090652,0.9716981132075472,0.06521919998340309
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.1,0.6,0,ablation_hard,0.6908441544934217,0.05534269902085994,0.05167227039462042,0.9992486038938941,1.0,0.9996243019469471,0.9514872521246459,0.9514872521246459,0.9984276729559748,0.058553899987600744
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.0,0,Graph-CoLD,0.8157248959926043,0.024691358024691357,0.013979826579366484,0.9455841389761035,0.8980354787594498,0.9218098088677766,0.8060880872678119,0.8126770538243626,0.9769911504424779,0.07172549999086186
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.0,0,CoLD,0.6997341891667465,0.023414218816517667,0.024420456556361707,0.8198071381311967,0.6311023020204086,0.7254547200758026,0.8045325779036827,0.8045325779036827,0.9398230088495575,0.06499260000418872
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.0,0,ablation_hard,0.81628251624719,0.02596849723286505,0.013802866749247921,0.9455841389761035,0.8980354787594498,0.9218098088677766,0.8126770538243626,0.8126770538243626,0.9769911504424779,0.07329610001761466
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.6,0,Graph-CoLD,0.5631158856233474,0.10046828437633035,0.10033622367722526,0.9883892475418206,0.9750433402837735,0.981716293912797,0.9054918402936332,0.9139518413597734,0.9964601769911504,0.06396529998164624
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.6,0,CoLD,0.5297017769999178,0.08939974457215837,0.10086710316758096,0.9397183615830009,0.8590912998887393,0.8994048307358702,0.9047450424929179,0.9047450424929179,0.9876106194690265,0.0638022999628447
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.2,0.6,0,ablation_hard,0.5809451162077616,0.0940825883354619,0.09909750486639533,0.9883892475418206,0.9750433402837735,0.981716293912797,0.9139518413597734,0.9139518413597734,0.9964601769911504,0.06825200002640486
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.0,0,Graph-CoLD,0.6455016942541065,0.09323116219667944,0.02123517961422757,0.9502471858658428,0.8791262989051922,0.9146867423855175,0.6835330683689739,0.6887393767705382,0.9740566037735849,0.07273480005096644
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.0,0,CoLD,0.6001179238248044,0.09067688378033206,0.023181737745531766,0.8231988504934206,0.6073365160889769,0.7152676832911987,0.681657223796034,0.681657223796034,0.9339622641509434,0.07368060003500432
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.0,0,ablation_hard,0.6413219799739411,0.0940825883354619,0.021589099274464698,0.9502471858658428,0.8791262989051922,0.9146867423855175,0.6887393767705382,0.6887393767705382,0.9740566037735849,0.08008929999778047
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.6,0,Graph-CoLD,0.3989004932113475,0.17369093231162197,0.1946558131304194,0.9716865090561143,0.8673808997630822,0.9195337044095983,0.7768687729740748,0.7836402266288952,0.9905660377358491,0.07731910003349185
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.6,0,CoLD,0.3990129020034706,0.1558109833971903,0.19819500973279067,0.9716865090561143,0.8673808997630822,0.9195337044095983,0.7754957507082153,0.7754957507082153,0.9905660377358491,0.07783140003448352
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.4,0.6,0,ablation_hard,0.4067967272866545,0.16219667943805874,0.19642541143160502,0.9716865090561143,0.8673808997630822,0.9195337044095983,0.7836402266288952,0.7836402266288952,0.9905660377358491,0.06626769999274984
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.0,0,Graph-CoLD,0.37254516814079447,0.22307364836100468,0.07803928508228632,0.8760651356573407,0.7274797650517447,0.8017724503545427,0.5934893203288581,0.5980878186968839,0.9081272084805654,0.07306590001098812
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.0,0,CoLD,0.35370658476570094,0.22903363133248192,0.07857016457264202,0.7845347831938867,0.3783140602044111,0.5814244216991489,0.5920679886685553,0.5920679886685553,0.872791519434629,0.07514219998847693
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2824_test_8000,True,176,248,graph_consistency,0.6,0.0,0,ablation_hard,0.37798469335684676,0.21881651766709237,0.07273049017872943,0.8760651356573407,0.7274797650517447,0.8017724503545427,0.5980878186968839,0.5980878186968839,0.9081272084805654,0.0668195000034757
