dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,cold_err_final,hard_err_final,delta_err_final_vs_cold,graphcold_fnr,cold_fnr,hard_fnr,delta_fnr_vs_cold,paired_scenarios_dataset,p_macro_f1_graphcold_vs_cold,p_macro_f1_graphcold_vs_hard,p_err_graphcold_vs_cold,p_fnr_graphcold_vs_cold,p2c_validity_note
CICIDS-2017,clean,0.0,none,0.9909420607833922,0.8430493419374793,0.99103450791384,0.14789271884591293,-9.244713044775921e-05,1.0,1.0,1.0,0.0,0.0007302000568598,0.008196794900570065,0.0007302000568597666,-0.007466594843710265,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.1,0.0,0.9903249393464221,0.7092232991866547,0.9652434803235045,0.28110164015976735,0.025081459022917585,1.0,0.6467956387488566,0.8413772602868169,0.3532043612511434,0.0008169861291915,0.012673759183612333,0.0041208421241639,-0.011856773054420833,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.1,0.6,0.99018469874229,0.7081335871662521,0.965372763181071,0.2820511115760379,0.024811935561218967,1.0,0.6459665441582426,0.8409474889462333,0.3540334558417574,0.0007810746509852667,0.012592958357648365,0.0040879232691415,-0.011811883706663098,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.2,0.0,0.9895291159218611,0.7071123576649798,0.9645642805683922,0.2824167582568813,0.02496483535346894,1.0,0.6471190577872205,0.8420735660994016,0.35288094221277955,0.0008588828537654,0.012314644401550168,0.0039831814577067,-0.011455761547784767,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.2,0.6,0.9900283078113804,0.7084140678102891,0.9652773593226787,0.28161424000109125,0.02475094848870174,1.0,0.6456463624442076,0.8407627223242531,0.3543536375557924,0.0008319492451107333,0.0129490805165267,0.003908365878110433,-0.012117131271415966,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.4,0.0,0.988617981579738,0.708219290483501,0.9632811598810395,0.28039869109623705,0.025336821698698553,1.0,0.6477076466742587,0.8424997859909856,0.35229235332574127,0.0009606320420163667,0.012215887836483,0.0042794511529080335,-0.011255255794466634,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.4,0.6,0.9893927510847398,0.7107097135015361,0.9619930468110267,0.2786830375832037,0.027399704273713077,1.0,0.6436751783714995,0.8397372180858843,0.35632482162850054,0.0008947943319716333,0.013023896096123,0.004982717601113199,-0.012129101764151367,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.6,0.0,0.9858162090401511,0.7098009654114515,0.9620961623959173,0.27601524362869956,0.023720046644233772,1.0,0.6461209264287309,0.8420664439794233,0.35387907357126913,0.0011820861576214,0.011991441097694134,0.004060989660486834,-0.010809354940072735,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,graph_consistency,0.6,0.6,0.9867733835245419,0.7069954711958855,0.9621632625740214,0.27977791232865645,0.02461012095052051,1.0,0.6435103638084998,0.8400772794652025,0.3564896361915002,0.0010833295925543,0.012380482111594865,0.004078945399589934,-0.011297152519040565,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
CICIDS-2017,symmetric,0.1,none,0.9903249393464221,0.7092232991866547,0.9652434803235045,0.28110164015976735,0.025081459022917585,1.0,0.6467956387488566,0.8413772602868169,0.3532043612511434,0.0008169861291915,0.012673759183612333,0.0041208421241639,-0.011856773054420833,17,6.070047780932001e-13,0.00968442389660648,3.78181182652288e-10,4.623804362345435e-06,CICIDS frozen row invalidated for claims by P2c oracle audit
