dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,hard_err_final,delta_err_final_vs_hard,graphcold_tail_recall,hard_tail_recall,delta_tail_recall_vs_hard,graphcold_fnr,hard_fnr,delta_fnr_vs_hard,p_macro_f1_graphcold_vs_cold_dataset,bootstrap_ci95_delta_vs_cold_low,bootstrap_ci95_delta_vs_cold_high,holm_p_macro_f1_vs_cold
CESNET-TLS-Year22,graph_consistency,0.4,0.6,0.7290043125934004,0.7280737289534597,0.7320376285259362,0.0009305836399406964,-0.0030333159325358627,0.9854035887863303,0.9854035887863303,0.0,0.67497320471597,0.682743837084673,-0.007770632368703012,0.013360739979444966,0.012247344981157865,0.0011133949982871007,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.6,0.0,0.7934689833321941,0.7856659845070878,0.7939319613644135,0.0078029988251062665,-0.0004629780322193966,0.886927406614527,0.886927406614527,0.0,0.814844587352626,0.8137727759914255,0.001071811361200492,0.0085645769099006,0.007793764988009567,0.0007708119218910328,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,graph_consistency,0.6,0.6,0.6655659534960928,0.6632335680319028,0.6654249327018285,0.002332385464190012,0.0001410207942643682,0.948693861776551,0.948693861776551,0.0,0.629957127545552,0.6390675241157556,-0.009110396570203627,0.017386091127098265,0.017471736896197233,-8.564576909896732e-05,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,symmetric,0.1,none,0.9675510588834232,0.9561389468099389,0.9587928188059881,0.011412112073484248,0.008758240077435087,0.9626060137099643,0.9626060137099643,0.0,0.9686495176848875,0.9560557341907825,0.012593783494105004,0.0011990407673860334,0.0019698526892771,-0.0007708119218910667,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,symmetric,0.2,none,0.9526847847135698,0.9544152700726096,0.9570812590839713,-0.0017304853590398572,-0.004396474370401582,0.9555831492357565,0.9555831492357565,0.0,0.9458735262593784,0.9579314040728831,-0.012057877813504758,0.0011133949982870333,0.000770811921891,0.0003425830763960333,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,symmetric,0.4,none,0.8966360748574688,0.8990260197124611,0.8946429205568984,-0.002389944854992332,0.0019931543005703434,0.9320903223038638,0.9320903223038638,0.0,0.895230439442658,0.8909431939978564,0.004287245444801635,0.0013703323055840333,0.000942103460089,0.00042822884549503326,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CESNET-TLS-Year22,symmetric,0.6,none,0.7934689833321941,0.7856659845070878,0.7939319613644135,0.0078029988251062665,-0.0004629780322193966,0.886927406614527,0.886927406614527,0.0,0.814844587352626,0.8137727759914255,0.001071811361200492,0.0085645769099006,0.007793764988009567,0.0007708119218910328,0.03721422701347379,0.0013635487432638945,0.008790940937249237,0.04129090783430986
CICIDS-2017,asymmetric,0.1,none,0.7370092579935035,0.6134015804667473,0.7274230267912967,0.12360767752675617,0.009586231202206807,0.8589205027465066,0.8589205027465066,0.0,0.5280528052805281,0.5181518151815181,0.00990099009901002,0.14978753541076484,0.17433899905571285,-0.024551463644948007,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,asymmetric,0.2,none,0.6257155038847805,0.45617477873883,0.6074962217988094,0.16954072514595048,0.018219282085971122,0.7877276781867989,0.7877276781867989,0.0,0.46204620462046203,0.4488448844884488,0.01320132013201325,0.35210103871576953,0.3618980169971671,-0.009796978281397584,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,asymmetric,0.4,none,0.30147647399066074,0.17856172150759186,0.30914556529865006,0.12291475248306888,-0.0076690913079893175,0.6911927930869993,0.6911927930869993,0.0,0.17161716171617158,0.1584158415841584,0.013201320132013195,0.7352455146364495,0.7338290840415486,0.0014164305949009304,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,asymmetric,0.6,none,0.0555612656547001,0.04297837451709124,0.0559399674364365,0.01258289113760886,-0.00037870178173639996,0.2307852589041386,0.2307852589041386,0.0,0.009900990099009901,0.0132013201320132,-0.0033003300330032986,0.9884324834749764,0.9907932011331445,-0.0023607176581681433,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,clean,0.0,none,0.7786885380574469,0.6711498730106901,0.7937219372659702,0.1075386650467568,-0.015033399208523313,1.0,1.0,0.0,0.6435643564356436,0.6402640264026402,0.0033003300330033403,0.1087110481586402,0.09867799811142582,0.010033050047214387,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
CICIDS-2017,graph_consistency,0.1,0.0,0.7705457918156892,0.6788506799358073,0.7696845065349486,0.09169511187988189,0.0008612852807405869,0.8959454617066139,0.8959454617066139,0.0,0.6402640264026402,0.6435643564356436,-0.0033003300330033403,0.11000944287063259,0.10776676109537298,0.0022426817752596168,0.00034328311241968765,0.03396058072177386,0.0842009781337867,0.001029849337259063
