dataset,reported_as,tail_flip_rate,seed,method,tail_label,tail_label_name,train_tail_count,test_tail_count,train_tail_flipped_count,clean_suspicious_tail_count,clean_suspicious_tail_recovery_rate,clean_suspicious_tail_retained_rate,test_tail_recall,mean_tail_evidence,mean_tail_cdm,mean_tail_weight
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,9,9,49,37,29,0,0.0,0.0,0.32432432432432434,0.23352384071572224,0.09505531938164462,0.871555945016777
cicids2017,CICIDS-2017,0.6,1,Graph-CoLD-semisup,10,10,22,9,15,2,0.0,1.0,0.1111111111111111,0.32505446251482617,0.16756279357539583,0.8841885251977188
cicids2017,CICIDS-2017,0.8,1,CoLD,1,1,29,12,21,6,0.0,0.0,0.0,0.21365411582852614,0.22776455135731022,0.7241379310344828
cicids2017,CICIDS-2017,0.8,1,CoLD,5,5,78,34,68,4,0.0,0.0,0.0,0.12258457566578901,0.0804012841415848,0.8717948717948718
cicids2017,CICIDS-2017,0.8,1,CoLD,6,6,81,36,66,4,0.0,0.0,0.0,0.13280923692952154,0.09029300284066835,0.8148148148148148
cicids2017,CICIDS-2017,0.8,1,CoLD,9,9,49,37,36,1,0.0,0.0,0.0,0.15977119420146776,0.07484029873245214,0.7346938775510204
cicids2017,CICIDS-2017,0.8,1,CoLD,10,10,22,9,16,1,0.0,0.0,0.0,0.25983657399716675,0.11571056901255478,0.7272727272727273
cicids2017,CICIDS-2017,0.8,1,ablation_hard,1,1,29,12,21,6,0.0,0.0,0.0,0.21365411582852614,0.22776455135731022,0.7931034482758621
cicids2017,CICIDS-2017,0.8,1,ablation_hard,5,5,78,34,68,4,0.0,0.0,0.058823529411764705,0.12258457566578901,0.0804012841415848,0.9487179487179487
cicids2017,CICIDS-2017,0.8,1,ablation_hard,6,6,81,36,66,4,0.0,0.0,0.027777777777777776,0.13280923692952154,0.09029300284066835,0.9506172839506173
cicids2017,CICIDS-2017,0.8,1,ablation_hard,9,9,49,37,36,1,0.0,0.0,0.1891891891891892,0.15977119420146776,0.07484029873245214,0.9795918367346939
cicids2017,CICIDS-2017,0.8,1,ablation_hard,10,10,22,9,16,1,0.0,0.0,0.0,0.25983657399716675,0.11571056901255478,0.9545454545454546
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,1,1,29,12,21,6,1.0,1.0,0.08333333333333333,0.21365411582852614,0.22776455135731022,0.8323818786331221
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,5,5,78,34,68,4,1.0,1.0,0.11764705882352941,0.12258457566578901,0.0804012841415848,0.8684417976731064
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,6,6,81,36,66,4,1.0,1.0,0.027777777777777776,0.13280923692952154,0.09029300284066835,0.8595063513491813
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,9,9,49,37,36,1,1.0,1.0,0.1891891891891892,0.15977119420146776,0.07484029873245214,0.870007223902124
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-soft,10,10,22,9,16,1,1.0,1.0,0.3333333333333333,0.25983657399716675,0.11571056901255478,0.8845126170076959
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,1,1,29,12,21,6,0.0,1.0,0.0,0.21365411582852614,0.22776455135731022,0.8323818786331221
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,5,5,78,34,68,4,0.0,1.0,0.058823529411764705,0.12258457566578901,0.0804012841415848,0.8684417976731064
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,6,6,81,36,66,4,0.0,1.0,0.0,0.13280923692952154,0.09029300284066835,0.8595063513491813
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,9,9,49,37,36,1,0.0,1.0,0.21621621621621623,0.15977119420146776,0.07484029873245214,0.870007223902124
cicids2017,CICIDS-2017,0.8,1,Graph-CoLD-semisup,10,10,22,9,16,1,0.0,1.0,0.1111111111111111,0.25983657399716675,0.11571056901255478,0.8845126170076959
cicids2017,CICIDS-2017,0.4,2,CoLD,1,1,29,12,13,5,0.0,0.0,0.0,0.403318515181559,0.2503003067181627,0.4482758620689655
cicids2017,CICIDS-2017,0.4,2,CoLD,5,5,78,34,26,2,0.0,0.0,0.17647058823529413,0.31817865961732156,0.1461269957940914,0.5256410256410257
cicids2017,CICIDS-2017,0.4,2,CoLD,6,6,81,36,36,5,0.0,0.0,0.3055555555555556,0.27839783277054797,0.16076663980861938,0.7283950617283951
cicids2017,CICIDS-2017,0.4,2,CoLD,9,9,49,37,17,1,0.0,0.0,0.0,0.33133369996115386,0.1257236614810601,0.3469387755102041
cicids2017,CICIDS-2017,0.4,2,CoLD,10,10,22,9,11,2,0.0,0.0,0.0,0.4482800354260317,0.19704663532089867,0.5
cicids2017,CICIDS-2017,0.4,2,ablation_hard,1,1,29,12,13,5,0.0,0.0,0.25,0.403318515181559,0.2503003067181627,0.8275862068965517
cicids2017,CICIDS-2017,0.4,2,ablation_hard,5,5,78,34,26,2,0.0,0.0,0.6764705882352942,0.31817865961732156,0.1461269957940914,0.9487179487179487
cicids2017,CICIDS-2017,0.4,2,ablation_hard,6,6,81,36,36,5,0.0,0.0,0.5555555555555556,0.27839783277054797,0.16076663980861938,0.9259259259259259
cicids2017,CICIDS-2017,0.4,2,ablation_hard,9,9,49,37,17,1,0.0,0.0,0.40540540540540543,0.33133369996115386,0.1257236614810601,0.9795918367346939
cicids2017,CICIDS-2017,0.4,2,ablation_hard,10,10,22,9,11,2,0.0,0.0,0.2222222222222222,0.4482800354260317,0.19704663532089867,0.9090909090909091
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-soft,1,1,29,12,13,5,1.0,1.0,0.5,0.403318515181559,0.2503003067181627,0.8477634259209065
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-soft,5,5,78,34,26,2,1.0,1.0,0.7647058823529411,0.31817865961732156,0.1461269957940914,0.8467951369818453
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-soft,6,6,81,36,36,5,1.0,1.0,0.6111111111111112,0.27839783277054797,0.16076663980861938,0.8376283846066656
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-soft,9,9,49,37,17,1,1.0,1.0,0.5135135135135135,0.33133369996115386,0.1257236614810601,0.8669348701266515
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-soft,10,10,22,9,11,2,1.0,1.0,0.2222222222222222,0.4482800354260317,0.19704663532089867,0.8838393293901131
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-semisup,1,1,29,12,13,5,0.0,1.0,0.25,0.403318515181559,0.2503003067181627,0.8477634259209065
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-semisup,5,5,78,34,26,2,0.0,1.0,0.7058823529411765,0.31817865961732156,0.1461269957940914,0.8467951369818453
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-semisup,6,6,81,36,36,5,0.0,1.0,0.5277777777777778,0.27839783277054797,0.16076663980861938,0.8376283846066656
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-semisup,9,9,49,37,17,1,0.0,1.0,0.4594594594594595,0.33133369996115386,0.1257236614810601,0.8669348701266515
cicids2017,CICIDS-2017,0.4,2,Graph-CoLD-semisup,10,10,22,9,11,2,0.0,1.0,0.2222222222222222,0.4482800354260317,0.19704663532089867,0.8838393293901131
cicids2017,CICIDS-2017,0.6,2,CoLD,1,1,29,12,20,3,0.0,0.0,0.0,0.23749416012463256,0.15429260381702498,0.6896551724137931
cicids2017,CICIDS-2017,0.6,2,CoLD,5,5,78,34,41,4,0.0,0.0,0.0,0.20597845934620168,0.1219422557891139,0.5256410256410257
cicids2017,CICIDS-2017,0.6,2,CoLD,6,6,81,36,54,2,0.0,0.0,0.0,0.17067053326638548,0.09687085999115762,0.6666666666666666
cicids2017,CICIDS-2017,0.6,2,CoLD,9,9,49,37,30,0,0.0,0.0,0.0,0.1944919544378984,0.08135382725559945,0.6122448979591837
cicids2017,CICIDS-2017,0.6,2,CoLD,10,10,22,9,10,2,0.0,0.0,0.0,0.35659098757294655,0.186280775257495,0.45454545454545453
cicids2017,CICIDS-2017,0.6,2,ablation_hard,1,1,29,12,20,3,0.0,0.0,0.16666666666666666,0.23749416012463256,0.15429260381702498,0.896551724137931
cicids2017,CICIDS-2017,0.6,2,ablation_hard,5,5,78,34,41,4,0.0,0.0,0.35294117647058826,0.20597845934620168,0.1219422557891139,0.9487179487179487
cicids2017,CICIDS-2017,0.6,2,ablation_hard,6,6,81,36,54,2,0.0,0.0,0.2222222222222222,0.17067053326638548,0.09687085999115762,0.9753086419753086
cicids2017,CICIDS-2017,0.6,2,ablation_hard,9,9,49,37,30,0,0.0,0.0,0.6756756756756757,0.1944919544378984,0.08135382725559945,1.0
cicids2017,CICIDS-2017,0.6,2,ablation_hard,10,10,22,9,10,2,0.0,0.0,0.2222222222222222,0.35659098757294655,0.186280775257495,0.9090909090909091
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-soft,1,1,29,12,20,3,1.0,1.0,0.25,0.23749416012463256,0.15429260381702498,0.8618097140105765
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-soft,5,5,78,34,41,4,1.0,1.0,0.3235294117647059,0.20597845934620168,0.1219422557891139,0.8472506929329499
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-soft,6,6,81,36,54,2,1.0,1.0,0.2222222222222222,0.17067053326638548,0.09687085999115762,0.8584722199611884
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-soft,9,9,49,37,30,0,0.0,0.0,0.5405405405405406,0.1944919544378984,0.08135382725559945,0.8706818531124927
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-soft,10,10,22,9,10,2,1.0,1.0,0.1111111111111111,0.35659098757294655,0.186280775257495,0.8526253573504236
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-semisup,1,1,29,12,20,3,0.0,1.0,0.25,0.23749416012463256,0.15429260381702498,0.8618097140105765
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-semisup,5,5,78,34,41,4,0.0,1.0,0.29411764705882354,0.20597845934620168,0.1219422557891139,0.8472506929329499
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-semisup,6,6,81,36,54,2,0.0,1.0,0.2777777777777778,0.17067053326638548,0.09687085999115762,0.8584722199611884
cicids2017,CICIDS-2017,0.6,2,Graph-CoLD-semisup,9,9,49,37,30,0,0.0,0.0,0.6216216216216216,0.1944919544378984,0.08135382725559945,0.8706818531124927
